"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.000000,0.006222,0.018585,0.013609,-0.000683,-0.000549,-0.000165,0.002838,0.084235
0.000500,0.010305,0.018691,0.013986,-0.000961,0.000092,0.000093,0.003487,0.095261
0.001000,-0.001896,0.004694,0.006682,-0.000659,0.000110,-0.000250,0.003811,0.064129
0.001500,-0.001693,0.005021,0.011772,-0.000461,0.000216,0.000257,0.001866,0.038510
0.002000,-0.003820,0.008592,0.001031,-0.000257,0.000391,0.000007,0.002838,0.018729
0.002500,-0.019866,0.006072,0.001099,-0.000782,0.000076,-0.000033,0.001541,0.009973
0.003000,0.006102,0.007015,0.013116,-0.000462,0.000116,-0.000301,0.003163,0.000244
0.003500,-0.007908,-0.008343,-0.000173,-0.001055,0.000017,-0.000288,0.002514,0.004460
0.004000,-0.001890,0.028119,0.026941,-0.000860,0.000349,-0.000129,0.002514,-0.000404
0.004500,0.010263,0.000074,0.010720,-0.000263,-0.000265,-0.000052,0.003163,-0.000404
0.005000,0.006245,0.035318,0.004066,-0.000311,-0.000228,-0.000043,0.002838,-0.001702
0.005500,0.026347,0.028227,-0.030191,-0.000549,0.000217,-0.000038,0.002514,-0.001377
0.006000,-0.013826,0.016611,-0.005697,-0.000730,-0.000018,-0.000029,0.003163,-0.000404
0.006500,0.004181,0.005917,0.006957,-0.000653,0.000240,-0.000106,0.002190,-0.002350
0.007000,-0.027835,0.013369,0.022359,-0.000498,0.000195,0.000223,0.003487,-0.000080
0.007500,-0.017741,0.019012,-0.021965,-0.001091,0.000118,0.000165,0.002838,-0.002999
0.008000,-0.003779,0.015369,0.031374,-0.000547,-0.000025,0.000090,0.002838,0.001866
0.008500,0.006316,0.009285,-0.026476,-0.001110,-0.000207,-0.000029,0.001866,-0.001053
0.009000,0.008293,0.031755,0.010866,-0.000750,0.000234,0.000127,0.002838,-0.000729
0.009500,-0.003803,0.003594,-0.026489,-0.000854,0.000016,-0.000143,0.002838,-0.001053
0.010000,-0.011830,0.020223,0.018083,-0.000472,0.000157,0.000062,0.001866,-0.001377
0.010500,-0.001997,0.025999,-0.003765,-0.000267,0.000430,-0.000408,0.003163,0.003487
0.011000,-0.017926,0.009370,0.030812,-0.000951,0.000063,-0.000115,0.002514,-0.000404
0.011500,0.004099,0.015106,0.006176,-0.000796,0.000074,-0.000331,0.002514,0.000568
0.012000,-0.005893,-0.004887,0.030260,-0.000986,-0.000082,-0.000200,0.002838,-0.002999
0.012500,0.002246,0.025926,-0.012842,-0.000829,0.000246,0.000009,0.002190,0.001541
0.013000,-0.001788,0.007162,0.021078,-0.000546,0.000051,0.000032,0.001866,-0.000404
0.013500,-0.001809,0.030461,0.010551,-0.000710,-0.000287,-0.000106,0.001866,-0.001702
0.014000,0.016341,0.027147,-0.022912,-0.000595,0.000247,0.000071,0.001866,0.000893
0.014500,-0.001876,0.016496,0.010323,-0.000501,0.000048,-0.000190,0.002838,-0.001377
0.015000,-0.003854,0.010763,-0.016441,-0.000673,0.000424,-0.000136,0.002514,-0.000404
0.015500,-0.011733,0.011060,-0.018299,-0.000429,0.000273,0.000198,0.003811,0.000893
0.016000,-0.023858,0.013257,-0.028980,-0.000792,0.000181,-0.000033,0.001866,0.002514
0.016500,0.014351,0.018725,0.010843,-0.000635,-0.000293,0.000093,0.003163,-0.001377
0.017000,-0.001805,-0.007174,0.003613,-0.000956,-0.000241,-0.000146,0.003487,-0.002674
0.017500,0.002294,0.030635,0.007829,-0.000706,0.000075,0.000151,0.003487,-0.001377
0.018000,-0.001943,0.004747,0.020013,-0.000609,0.000467,-0.000246,0.002838,-0.001053
0.018500,-0.007776,0.024813,0.028269,-0.000496,-0.000117,0.000119,0.003811,-0.000404
0.019000,0.014271,0.011975,-0.029867,-0.000347,0.000290,-0.000073,0.003163,-0.001053
0.019500,-0.015872,0.013174,0.011198,-0.000510,0.000129,-0.000027,0.002838,0.002514
0.020000,0.012202,0.005647,-0.020808,-0.001087,0.000064,-0.000278,0.002514,-0.000404
0.020500,0.002205,-0.002474,0.040781,-0.000878,0.000034,0.000002,0.002514,0.000568
0.021000,0.008214,0.010332,-0.013795,-0.001107,-0.000109,-0.000223,0.002190,0.000244
0.021500,0.018384,0.014234,0.021401,-0.000187,-0.000154,0.000210,0.002514,-0.000404
0.022000,0.008199,0.012627,0.003069,-0.000812,-0.000555,-0.000279,0.002838,0.003163
0.022500,0.024350,0.015185,0.013723,-0.000750,0.000260,0.000100,0.003487,-0.002026
0.023000,-0.005814,0.011958,-0.022846,-0.000667,0.000215,-0.000082,0.003811,0.001217
0.023500,-0.001864,0.021239,0.023958,-0.000660,0.000488,-0.000045,0.002514,-0.002350
0.024000,-0.015897,0.008584,0.007865,-0.000206,0.000100,-0.000083,0.003811,-0.000404
0.024500,-0.029894,0.019002,-0.005445,-0.001038,0.000158,-0.000006,0.002514,-0.001377
0.025000,0.016261,0.012786,0.013515,-0.000575,-0.000191,-0.000103,0.001866,0.000244
0.025500,0.002356,-0.014189,-0.005740,-0.001087,-0.000425,0.000103,0.001866,0.000568
0.026000,-0.001828,0.028199,0.010485,-0.000860,0.000295,-0.000046,0.003163,-0.001702
0.026500,0.012341,0.001383,-0.019267,-0.000493,0.000141,0.000090,0.002514,0.002190
0.027000,0.008226,0.024689,0.024090,-0.000319,-0.000154,-0.000044,0.002838,-0.001702
0.027500,0.024395,0.024751,-0.039933,-0.000614,0.000148,0.000043,0.002190,0.000893
0.028000,-0.003853,0.012980,0.017312,-0.000564,0.000033,-0.000108,0.003811,-0.001702
0.028500,0.004184,0.010584,-0.006651,-0.000818,0.000296,-0.000134,0.002514,0.001217
0.029000,-0.007942,-0.000977,0.027331,-0.000259,0.000224,-0.000193,0.003163,0.001217
0.029500,-0.013929,0.016320,0.023719,-0.001012,-0.000017,-0.000197,0.002838,-0.000729
0.030000,0.006359,0.011941,0.021797,-0.000334,-0.000166,0.000260,0.003487,0.001866
0.030500,0.014364,0.004420,0.000389,-0.000996,-0.000613,-0.000001,0.003487,-0.001377
0.031000,0.010330,0.028200,0.017708,-0.000861,0.000280,0.000211,0.004136,0.002190
0.031500,-0.001774,0.000194,-0.019410,-0.000589,0.000057,-0.000057,0.003163,-0.000729
0.032000,-0.007789,0.022543,0.007927,-0.000604,0.000218,0.000091,0.001866,0.001541
0.032500,0.004282,0.013083,0.004422,-0.000379,-0.000125,0.000063,0.003163,-0.000729
0.033000,-0.019801,0.001392,-0.005291,-0.000900,0.000024,0.000077,0.002514,0.000893
0.033500,0.006228,0.014133,-0.016530,-0.000614,-0.000049,-0.000135,0.002190,0.002190
0.034000,-0.003754,-0.015298,0.021070,-0.000898,-0.000173,0.000049,0.003811,-0.001053
0.034500,-0.013786,0.016516,-0.009074,-0.001153,0.000124,0.000054,0.002838,0.001541
