"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.000000,0.002774,0.004677,-0.068834,-0.000299,-0.000108,0.000686,0.003487,-0.004945
0.005000,0.010826,0.016325,-0.075722,-0.000243,-0.000379,0.000662,0.003163,0.070291
0.010000,0.000604,0.005509,-0.063443,-0.000348,-0.000619,0.000232,0.002514,0.060562
0.015000,0.020751,0.017065,-0.046796,-0.000713,-0.000268,0.000469,0.003811,0.034943
0.020000,-0.015428,-0.012868,-0.059013,-0.000103,-0.000165,0.000423,0.002838,0.018404
0.025000,0.000711,-0.001328,-0.065883,-0.000192,-0.000564,0.000484,0.003163,0.012891
0.030000,0.024856,0.017106,-0.039450,-0.000524,-0.000570,0.000638,0.003163,0.002838
0.035000,-0.007355,-0.010693,-0.086294,-0.000382,-0.000427,0.000365,0.002514,0.001541
0.040000,-0.001408,0.004517,-0.063122,-0.000022,-0.000528,0.000262,0.003487,0.003163
0.045000,0.012804,0.005522,-0.069577,-0.000631,-0.000410,0.000573,0.003163,-0.001377
0.050000,-0.005420,-0.021178,-0.076459,-0.000109,-0.000189,0.000282,0.003163,-0.000080
0.055000,-0.001243,0.016476,-0.092332,-0.000099,-0.000449,0.000573,0.002514,0.003163
0.060000,0.004609,0.012457,-0.043463,-0.000637,-0.000230,0.000323,0.002838,0.000568
0.065000,-0.005394,-0.014406,-0.090289,-0.000547,-0.000628,0.000193,0.003487,0.001217
0.070000,-0.001325,0.018745,-0.079365,-0.000041,-0.000423,0.000434,0.002838,0.004460
0.075000,-0.007355,0.005808,-0.062454,-0.000243,-0.000245,0.000486,0.002838,0.000568
0.080000,-0.007430,-0.008181,-0.069487,0.000103,-0.000214,0.000315,0.003163,0.002838
0.085000,0.016886,0.014901,-0.065725,-0.000161,-0.001242,0.000601,0.002838,0.004136
0.090000,0.014838,0.016079,-0.062693,-0.000668,-0.000371,0.000661,0.003487,0.001217
0.095000,-0.005409,-0.011948,-0.059689,-0.000293,-0.000386,0.000312,0.002838,0.001217
0.100000,-0.005428,0.006769,-0.053109,-0.000335,-0.000421,0.000289,0.003163,0.002838
0.105000,0.022995,0.021080,-0.088672,-0.000222,-0.000395,0.000891,0.003163,-0.001702
0.110000,0.006659,0.002249,-0.076482,0.000103,-0.000436,0.000321,0.003163,-0.000080
0.115000,0.002580,0.004146,-0.036810,-0.000354,-0.000908,0.000175,0.002514,0.001541
0.120000,0.000688,0.014930,-0.052825,-0.000715,-0.000207,0.000518,0.003163,-0.002999
0.125000,0.012688,0.001067,-0.076580,0.000095,-0.000304,0.000352,0.002838,-0.001053
0.130000,-0.007380,0.007971,-0.066249,-0.000377,-0.000602,0.000342,0.003163,-0.000080
0.135000,0.010623,0.004029,-0.043991,-0.000967,-0.000257,0.000264,0.003163,-0.002999
0.140000,0.006674,-0.002430,-0.089978,-0.000111,-0.000210,0.000347,0.002514,-0.001053
0.145000,0.004667,0.017619,-0.076146,0.000280,-0.000433,0.000382,0.003163,-0.000080
0.150000,0.018821,0.001801,-0.049701,-0.000792,-0.000525,0.000573,0.003163,-0.001377
0.155000,-0.011464,-0.003814,-0.073486,-0.000580,-0.000378,0.000197,0.003163,0.000893
0.160000,0.016740,0.002931,-0.063619,-0.000463,-0.001040,0.000289,0.002514,0.003163
0.165000,0.022867,0.014035,-0.086022,0.000020,-0.000284,0.000639,0.002838,-0.001377
0.170000,0.008706,-0.008521,-0.063110,-0.000328,-0.000495,0.000400,0.003163,0.002514
0.175000,0.008746,0.012570,-0.028996,-0.000258,-0.000645,0.000576,0.003163,0.003811
0.180000,0.008773,0.005852,-0.096216,-0.000347,0.000053,0.000575,0.002838,0.000568
0.185000,-0.007385,-0.012968,-0.082954,-0.000206,-0.000318,0.000338,0.003163,0.003487
0.190000,0.012748,0.007704,-0.026043,-0.000474,-0.000719,0.000518,0.002838,0.002514
0.195000,0.010640,0.006541,-0.053764,-0.000673,-0.000261,0.000294,0.003163,-0.001377
0.200000,0.000642,-0.005871,-0.082999,0.000063,-0.000287,0.000345,0.003163,0.001541
0.205000,0.014849,0.018377,-0.062620,-0.000470,-0.000871,0.000603,0.003163,0.001217
0.210000,0.014729,0.009028,-0.070099,-0.000474,-0.000341,0.000408,0.002838,-0.003323
0.215000,0.008694,0.003265,-0.063056,-0.000126,-0.000584,0.000376,0.003487,-0.000729
0.220000,0.002757,0.020943,-0.048793,-0.000260,-0.000530,0.000632,0.003163,-0.000404
0.225000,0.024831,0.024704,-0.096288,0.000261,-0.000135,0.000560,0.002838,-0.003323
0.230000,0.006552,-0.007162,-0.073765,0.000192,-0.000239,0.000124,0.003487,0.000244
0.235000,-0.011391,0.010675,-0.065572,0.000112,-0.000255,0.000460,0.002838,-0.000404
0.240000,0.026742,0.013499,-0.043742,-0.000547,-0.000357,0.000386,0.003163,-0.003323
0.245000,0.016705,0.003117,-0.063530,-0.000179,-0.000712,0.000293,0.003163,0.001866
0.250000,0.008882,0.017385,-0.044936,-0.000232,-0.000868,0.000799,0.003163,0.000244
0.255000,0.034906,0.016001,-0.066530,-0.000304,-0.000599,0.000584,0.002838,-0.000404
0.260000,0.012707,-0.001423,-0.080073,-0.000108,-0.000576,0.000319,0.004136,0.003163
0.265000,-0.019385,0.003857,-0.061516,0.000178,0.000068,0.000627,0.002514,0.002838
0.270000,0.022801,-0.000429,-0.063295,-0.000386,-0.000578,0.000463,0.002514,0.001217
0.275000,-0.013496,-0.014005,-0.083140,0.000072,-0.000120,0.000199,0.003487,0.005433
0.280000,-0.013498,0.002345,-0.042592,0.000071,-0.000130,0.000318,0.002190,0.002514
0.285000,0.014668,0.004674,-0.096974,0.000203,-0.000151,0.000270,0.002838,-0.000729
0.290000,-0.011359,0.001178,-0.075711,-0.000034,-0.000580,0.000424,0.002838,0.004784
0.295000,-0.013502,0.004856,-0.059357,0.000083,0.000311,0.000350,0.001866,0.001217
0.300000,0.006673,0.007083,-0.086368,0.000175,-0.000190,0.000380,0.002514,-0.001377
0.305000,-0.013419,-0.011698,-0.062410,-0.000005,-0.000288,0.000395,0.003163,0.001541
0.310000,-0.011351,0.006116,-0.051612,0.000141,0.000103,0.000659,0.001866,-0.001377
0.315000,-0.011430,0.001397,-0.092776,0.000153,0.000027,0.000345,0.002838,-0.003323
0.320000,-0.019475,0.001227,-0.062471,-0.000029,-0.000259,0.000341,0.003163,-0.000729
0.325000,0.004701,0.005805,-0.072774,-0.000156,-0.000148,0.000491,0.001866,-0.002674
0.330000,-0.001469,0.004622,-0.090430,0.000114,-0.000334,0.000094,0.002514,-0.002999
0.335000,-0.007353,0.001199,-0.079214,-0.000036,-0.000382,0.000427,0.002838,0.000244
0.340000,-0.013378,-0.004534,-0.062037,-0.000105,0.000123,0.000569,0.002190,-0.001702
0.345000,0.014637,0.016444,-0.083501,0.000454,-0.000214,0.000247,0.002514,-0.001377
0.350000,0.002666,0.001962,-0.046277,-0.000456,-0.000575,0.000401,0.003487,0.001217
0.355000,-0.009406,-0.004900,-0.059571,-0.000581,-0.000115,0.000397,0.001541,-0.001053
0.360000,-0.001555,0.002307,-0.060406,0.000248,0.000078,0.000071,0.002838,-0.000404
0.365000,0.002795,0.006910,-0.048500,-0.000238,-0.000525,0.000713,0.003163,0.004460
0.370000,0.004802,-0.001332,-0.048634,-0.000422,-0.000283,0.000740,0.002190,0.000893
0.375000,0.022719,0.013939,-0.056475,0.000349,-0.000371,0.000389,0.003163,0.000893
0.380000,0.000713,0.000938,-0.045645,-0.000178,-0.000732,0.000513,0.002838,0.003163
0.385000,-0.001245,-0.002191,-0.095585,-0.000009,-0.000221,0.000597,0.001866,0.000568
0.390000,-0.007439,-0.005665,-0.069255,0.000399,-0.000053,0.000347,0.002514,-0.001053
0.395000,0.002584,-0.002516,-0.049752,0.000129,-0.000440,0.000264,0.002838,0.002514
0.400000,-0.003435,-0.015460,-0.076902,-0.000409,-0.000117,0.000227,0.001866,-0.001377
0.405000,-0.029535,-0.006791,-0.062142,0.000076,0.000049,0.000367,0.003163,-0.002350
0.410000,-0.019522,-0.003685,-0.042802,-0.000382,-0.000171,0.000283,0.002190,0.000568
0.415000,-0.001472,-0.004920,-0.073822,-0.000309,-0.000106,0.000148,0.002190,-0.002674
0.420000,-0.021501,-0.009328,-0.059186,-0.000130,-0.000049,0.000339,0.003163,-0.002674
0.425000,-0.019542,-0.003820,-0.039728,-0.000478,-0.000391,0.000197,0.002838,-0.000729
0.430000,-0.011499,-0.003746,-0.083742,-0.000441,-0.000295,0.000114,0.002190,-0.002674
0.435000,-0.033491,-0.011587,-0.051727,-0.000180,-0.000173,0.000473,0.001866,-0.001702
0.440000,-0.009414,-0.005047,-0.059817,-0.000678,-0.000444,0.000309,0.001866,0.002190
0.445000,0.014639,-0.009991,-0.077760,-0.000581,-0.000716,0.000089,0.002514,-0.000729
0.450000,-0.029372,-0.018778,-0.075176,-0.000599,-0.000463,0.000551,0.003163,0.002514
0.455000,-0.025469,0.000074,-0.062237,-0.000359,0.000028,0.000452,0.001866,0.002514
0.460000,0.004655,0.001102,-0.076397,0.000051,-0.000341,0.000348,0.002514,0.000244
0.465000,-0.013410,-0.016384,-0.069171,-0.000171,-0.000091,0.000422,0.001866,0.004136
0.470000,-0.019431,-0.008458,-0.079692,-0.000741,-0.000466,0.000303,0.002190,0.004460
0.475000,0.024729,-0.001712,-0.043599,-0.000252,-0.000674,0.000324,0.003811,0.001541
0.480000,-0.019462,-0.015518,-0.062973,-0.000729,-0.000327,0.000303,0.004136,0.000244
0.485000,-0.021367,0.007277,-0.098805,-0.000232,-0.000053,0.000537,0.002190,0.003811
0.490000,0.022717,0.011521,-0.060005,0.000194,-0.000395,0.000359,0.002190,-0.001053
0.495000,-0.007306,-0.010925,-0.052531,-0.000847,-0.000481,0.000532,0.002838,0.000244
0.500000,-0.011435,0.010465,-0.086566,-0.000411,-0.000164,0.000288,0.003163,0.001541
0.505000,0.006688,-0.000182,-0.066272,-0.000002,-0.000600,0.000375,0.004784,-0.002026
0.510000,-0.001254,-0.014264,-0.075856,-0.000448,-0.000544,0.000534,0.003163,-0.001702
0.515000,-0.019479,-0.001608,-0.073551,-0.001129,-0.000327,0.000220,0.002190,-0.000080
0.520000,0.002631,0.004217,-0.036465,-0.000538,-0.000575,0.000346,0.001541,-0.002674
0.525000,0.006718,-0.021756,-0.029608,-0.000816,-0.000779,0.000449,0.003487,-0.001377
0.530000,-0.003375,0.008065,-0.086632,-0.000473,-0.000126,0.000346,0.003163,-0.000729
0.535000,0.004596,0.007702,-0.033406,-0.000475,-0.000561,0.000264,0.003163,-0.001702
0.540000,-0.009446,-0.019097,-0.063328,-0.000519,-0.000467,0.000222,0.003163,0.000568
0.545000,-0.015399,0.001072,-0.079473,-0.000643,-0.000081,0.000424,0.002514,0.000568
