"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.000000,0.007120,-0.012110,-0.018267,-0.000264,-0.000228,-0.000159,0.003163,-0.668443
0.000500,-0.010899,-0.003568,-0.040917,-0.000305,0.000093,-0.000021,0.002514,-0.209572
0.001000,0.007063,-0.014309,-0.031920,0.000003,-0.000008,-0.000269,0.002838,-0.058452
0.001500,0.013128,0.003490,-0.017856,0.000475,0.000054,-0.000089,0.002838,-0.017916
0.002000,0.009043,-0.010640,-0.021665,0.000446,0.000056,-0.000264,0.001866,-0.001377
0.002500,0.005098,0.000817,-0.011423,0.000039,-0.000584,-0.000213,0.002838,0.000568
0.003000,-0.000956,0.006775,-0.014844,-0.000208,0.000002,-0.000181,0.002838,-0.002999
0.003500,0.013120,-0.006160,-0.011501,0.000281,-0.000464,-0.000209,0.002514,0.002838
0.004000,-0.006980,-0.010415,-0.003838,0.000648,0.000033,-0.000098,0.003163,-0.001053
0.004500,-0.000940,-0.002435,-0.011029,0.000215,-0.000054,-0.000126,0.003163,0.002190
0.005000,-0.006880,0.019982,-0.003468,0.000199,-0.000058,0.000104,0.002514,0.001217
0.005500,0.011239,0.011470,-0.007379,-0.000184,-0.000181,0.000132,0.003163,-0.001053
0.006000,0.005125,0.005750,-0.007497,0.000350,-0.000315,-0.000066,0.002838,0.003811
0.006500,-0.016849,-0.009130,-0.022874,0.000285,-0.000072,0.000203,0.003163,-0.000729
0.007000,-0.020888,0.000126,-0.016384,0.000053,-0.000161,0.000147,0.002514,0.001541
0.007500,-0.002811,0.001311,-0.016649,0.000193,0.000148,0.000213,0.002514,0.002838
0.008000,0.023305,0.016255,-0.020909,-0.000070,0.000134,0.000196,0.003487,-0.001377
0.008500,-0.002890,-0.003548,0.013177,0.000310,-0.000101,0.000071,0.002838,0.002190
0.009000,-0.008889,-0.021253,0.003036,-0.000111,-0.000137,0.000061,0.002838,0.000244
0.009500,-0.016861,-0.002337,-0.030168,-0.000246,-0.000123,0.000117,0.002514,0.000568
0.010000,-0.000954,-0.009417,-0.011034,0.000273,0.000113,-0.000126,0.002190,0.003811
0.010500,0.019134,0.002262,-0.028337,0.000370,0.000188,-0.000144,0.002514,-0.001053
0.011000,0.001030,-0.008136,-0.014409,0.000513,0.000237,-0.000151,0.002838,0.003487
0.011500,0.011112,-0.005104,-0.021878,-0.000137,-0.000365,-0.000240,0.003487,-0.000080
0.012000,-0.008847,0.004757,-0.030315,-0.000071,0.000075,0.000124,0.002514,0.000893
0.012500,0.009106,-0.010721,-0.031622,0.000117,-0.000023,-0.000183,0.002838,0.003487
0.013000,0.007127,0.009426,-0.020872,0.000555,-0.000108,-0.000063,0.002514,-0.000080
0.013500,-0.002926,0.001152,-0.027702,0.000233,-0.000099,-0.000127,0.003163,0.002514
